"Date_ID","Lab_ID","Other_Lab_ID","Problems","CRA","Error","DC13","DC13_Error","Date_Method","Calibration_Curve","Local_Reservoir_14Cyr","Local_Reservoir_14Cyr_Error","Material","Species","Site_ID","Phase_ID","Phase_by_Excavator","Site_Context","Sample_ID","Notes"
"MC-316","MC-316",NULL,"Too young. To be rejected",3960,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ023","DZ023-1","unique",NULL,NULL,"Date too young. Too be rejected"
"MC-328","MC-328",NULL,NULL,6880,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"eggshell","Struthio camelus","DZ008","DZ008-1","no",NULL,NULL,NULL
"ALG-33","ALG-33",NULL,NULL,6600,250,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ008","DZ008-1","no","deep level, 80-100 cm",NULL,NULL
"MC-285","MC-285",NULL,NULL,8410,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ024","DZ024-2","yes","Level III, 0-15 cm",NULL,"In Roubet and Amara 2016 the date is published in BC"
"ALG-18","ALG-18",NULL,NULL,6450,260,NULL,NULL,NULL,"IntCal13",NULL,NULL,"eggshell","Struthio camelus","DZ024","DZ024-2","yes","Level III, 0-15 cm",NULL,NULL
"ALG-20","ALG-20",NULL,NULL,6240,270,NULL,NULL,NULL,"IntCal13",NULL,NULL,"eggshell","Struthio camelus","DZ024","DZ024-1","yes","Level II, 15-20 cm",NULL,NULL
"MC-208","MC-208",NULL,NULL,3330,110,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ044","DZ044-1","unique",NULL,NULL,"too recent date for Camps et al. 1968"
"ALG-10","ALG-10",NULL,NULL,5720,195,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ018","DZ018-1","no",NULL,NULL,NULL
"ALG-11","ALG-11",NULL,NULL,5400,190,NULL,NULL,NULL,"IntCal13",NULL,NULL,"eggshell","Struthio camelus","DZ018","DZ018-1","no",NULL,NULL,NULL
"ALG-39","ALG-39",NULL,NULL,4375,145,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ012","DZ012-1","unique","Y5, Layer II, 50-80 cm",NULL,NULL
"Gif-1714","Gif-1714",NULL,NULL,7760,180,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-5","yes","24LMN d - Phase IV",NULL,NULL
"Gif-1715","Gif-1715",NULL,NULL,8180,180,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-3","yes","24LMN f - Phase III (according to Perrin et al. 2019) or Phase IV",NULL,NULL
"Gif-1896","Gif-1896",NULL,NULL,7850,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-5","yes","24FG c - Phase IV",NULL,NULL
"Gif-1897","Gif-1897",NULL,NULL,8380,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-5","yes","24FG i - Phase IV (according to Perrin et al. 2019) or Phase III",NULL,NULL
"Gif-1898","Gif-1898",NULL,NULL,7950,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-5","yes","24FG r - Phase IV",NULL,NULL
"Gif-1901","Gif-1901",NULL,NULL,8100,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-4","yes","32-33 D p - Phase III-IV",NULL,NULL
"Gif-1902","Gif-1902",NULL,NULL,8350,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-4","yes","32-33D x - Phase III-IV",NULL,NULL
"Gif-2120","Gif-2120",NULL,NULL,8180,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-2","yes","24LMN o - Phase II (according to Perrin et al. 2019) or Phase IV",NULL,NULL
"Gif-2121","Gif-2121",NULL,NULL,8840,160,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-1","yes","24LMN w - (Phase I",NULL,NULL
"Gif-1900","Gif-1900",NULL,NULL,7800,140,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-5","no",NULL,NULL,NULL
"Gif-1899","Gif-1899",NULL,NULL,7300,140,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-6","no",NULL,NULL,NULL
"Gif-2119","Gif-2119",NULL,NULL,7700,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ047","DZ047-3","yes","24LMN i (Phase III)",NULL,NULL
"Gif-306","Gif-306",NULL,NULL,7450,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ045","DZ045-2","no","upper layer",NULL,NULL
"Poz-92376","Poz-92376",NULL,NULL,8470,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone collagen (undetermined)",NULL,"DZ045","DZ045-1","no",NULL,NULL,NULL
"Poz-92378","Poz-92378",NULL,NULL,8370,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"tooth collagen (undetermined)",NULL,"DZ045","DZ045-1","no",NULL,NULL,NULL
"Poz-92377","Poz-92377",NULL,NULL,8350,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone collagen (undetermined)",NULL,"DZ045","DZ045-1","no",NULL,NULL,NULL
"Gif-308","Gif-308",NULL,NULL,6850,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ017","DZ017-6","no","Depth 160-200 cm",NULL,NULL
"Gif-309","Gif-309",NULL,NULL,6340,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ017","DZ017-7","no","Depth 200-230 cm",NULL,NULL
"MC-154","MC-154",NULL,NULL,7300,200,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ017","DZ017-5","no","H15",NULL,NULL
"MC-153","MC-153",NULL,NULL,6800,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ017","DZ017-6","no","Depth 130-160 cm",NULL,"Lubell et al. 1991 report the Lb ID as MC-154 but it is not correct"
"MC-155","MC-155",NULL,NULL,8280,200,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ017","DZ017-4","no","H39",NULL,"Lubell et al. 1991 report the Lab ID as MC-211 but it is not correct"
"MC-156","MC-156",NULL,NULL,5850,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ017","DZ017-8","no",NULL,NULL,"Ben Moussa 2008 reports the material as ostrich eggshell but it is wrong"
"Gif-307","Gif-307",NULL,NULL,5250,250,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ017","DZ017-9","no",NULL,NULL,"Ben Moussa 2008 reports the material as Helix but it is wrong"
"ALG-97","ALG-97",NULL,NULL,10850,425,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (freshwater)",NULL,"DZ017","DZ017-2","no","South sector (Brahimi excavation)",NULL,NULL
"MC-211","MC-211",NULL,NULL,8140,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ017","DZ017-4","no","Under the shelter",NULL,"Lubell et al. 1991 report the Lab ID as MC-155 but it is not correct"
"Poz-103172","Poz-103172",NULL,NULL,8580,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone collagen (undetermined)",NULL,"DZ017","DZ017-3","no","Grave #2 (Gazella sp.)",NULL,NULL
"Poz-103169","Poz-103169",NULL,NULL,11150,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone collagen (undetermined)",NULL,"DZ017","DZ017-1","no","I21 #05 (x 269, y 21, z 23)",NULL,NULL
"Poz-103168","Poz-103168",NULL,NULL,11230,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone collagen (undetermined)",NULL,"DZ017","DZ017-1","no","I22 #01 (x 336, y 18, z 11)",NULL,NULL
"Poz-103171","Poz-103171",NULL,NULL,11170,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone collagen (undetermined)",NULL,"DZ017","DZ017-1","no","J22 (z 699)",NULL,NULL
"Poz-102948","Poz-102948",NULL,NULL,10640,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone collagen (undetermined)",NULL,"DZ017","DZ017-2","no","K22 #679",NULL,NULL
"Gif-3408","Gif-3408",NULL,NULL,5810,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"eggshell","Struthio camelus","DZ032","DZ032-1","unique",NULL,NULL,NULL
"Gif-883","Gif-883",NULL,NULL,5850,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ037","DZ037-1","no",NULL,NULL,NULL
"Gif-3012","Gif-3012",NULL,NULL,5350,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ037","DZ037-1","no",NULL,NULL,NULL
"Gif-3011","Gif-3011",NULL,NULL,3600,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ020","DZ020-1","unique",NULL,NULL,NULL
"I-7690","I-7690",NULL,NULL,7280,115,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-7","no","J9x - 40-45 cm",NULL,"Linstädter 2008 reports it as obtained on humic acid"
"I-7691","I-7691",NULL,NULL,9280,135,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-2","no","J9x - 125-135 cm",NULL,NULL
"I-9781","I-9781",NULL,NULL,7725,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-6","no","K10w - 50-60 cm",NULL,NULL
"I-9782","I-9782",NULL,NULL,7640,115,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-6","no","L9n - 48-55 cm",NULL,"Linstädter 2008 reports it as obtained on humic acid"
"I-9783","I-9783",NULL,NULL,7990,125,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-5","no","M8e/n - 90-100 cm",NULL,"Jackes and Lubell in press in Rahmani 2004; Linstädter 2008 reports it as obtained on humic acid"
"I-9784","I-9784",NULL,NULL,8125,125,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-5","no","L11n - 95-105 cm",NULL,NULL
"I-9785","I-9785",NULL,NULL,9430,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-1","no","M10s - 130-140 cm",NULL,NULL
"I-9786","I-9786",NULL,NULL,9615,155,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-1","no","K9x - 140-145 cm",NULL,NULL
"I-9824","I-9824",NULL,NULL,9805,160,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-1","no","K12x - 145-150 cm",NULL,"Linstädter 2008 reports it as obtained on humic acid"
"I-9826","I-9826",NULL,NULL,9130,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-3","no","K8x - 140-150 cm (from Burial)",NULL,NULL
"I-8378","I-8378",NULL,NULL,8835,140,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-4","no","J9x - 80-90 cm",NULL,NULL
"I-9825","I-9825",NULL,NULL,9590,155,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ004","DZ004-1","no","K10n - 150-155 cm",NULL,NULL
"Pta-MC1255","Pta-MC1255",NULL,NULL,5000,200,"-18,7",NULL,NULL,"IntCal13",NULL,NULL,"human collagen","Homo sapiens","DZ004","DZ004-8","no","H-1",NULL,NULL
"TO-12194","TO-12194",NULL,NULL,4890,80,"-17,74",NULL,NULL,"IntCal13",NULL,NULL,"human collagen","Homo sapiens","DZ004","DZ004-8","no","H-1",NULL,NULL
"MC-206","MC-206",NULL,NULL,8050,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ036","DZ036-2","no","Upper layer, cut B",NULL,NULL
"Gif-879","Gif-879",NULL,NULL,8540,200,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ036","DZ036-1","no",NULL,NULL,NULL
"MC-207","MC-207",NULL,NULL,8320,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ036","DZ036-1","no",NULL,NULL,NULL
"MC-209","MC-209",NULL,NULL,6800,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ002","DZ002-1","no","Depth 130-150 cm",NULL,NULL
"MC-210","MC-210",NULL,NULL,7000,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ002","DZ002-1","no","Depth 130-150 cm",NULL,NULL
"Ny-76","Ny-76",NULL,NULL,5120,310,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ002","DZ002-1","no","Surface",NULL,"too recent date for Camps et al. 1968"
"ALG-7","ALG-7",NULL,NULL,5540,190,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ002","DZ002-1","no","Depth 120-140 cm",NULL,"Lubell et al. 1991 report the date as 5400±190 BP but it is not correct"
"Beta-426393","Beta-426393",NULL,NULL,7170,30,NULL,NULL,"AMS","IntCal13",NULL,NULL,"charcoal",NULL,"DZ039","DZ039-1","unique","Sub-unit USVI-1 - 113 cm",NULL,NULL
"Gif-1454","Gif-1454",NULL,NULL,6600,400,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-1","yes","Phase I: depth 300-325",NULL,NULL
"Gif-1455","Gif-1455",NULL,NULL,7200,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-1","yes","Phase I: depth 325-350",NULL,NULL
"Gif-462","Gif-462",NULL,NULL,6620,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-4","yes","Phase IV: depth 25-75; depth 90",NULL,"Lubell et al. 1991 report the error as ±150, but it is probably not correct"
"MC-151","MC-151",NULL,NULL,6500,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-4","yes","Phase IV: depth 25-75",NULL,NULL
"Gif-886","Gif-886",NULL,NULL,7900,180,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-3","yes","Phase III: depth 100",NULL,NULL
"Gif-887","Gif-887",NULL,NULL,8270,185,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-2","yes","Phase II: depth 100-130",NULL,NULL
"Gif-889","Gif-889",NULL,NULL,8480,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-1","yes","Phase I:depth 230-320",NULL,NULL
"MC-214","MC-214",NULL,NULL,7200,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-2","yes","Phase II: depth 180-190",NULL,"Aberrant date for Camps et al. 1968"
"MC-213","MC-213",NULL,"LabIDConflict",7860,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-3","yes","Phase III: depth 100",NULL,"The LabID according to CalPal, Camps et al. 1973 and Camps 1974 is MC-313"
"MC-318","MC-318",NULL,NULL,7030,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-3","yes","Phase III: depth 100-125",NULL,NULL
"MC-319","MC-319",NULL,NULL,7570,160,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-2","yes","Phase II: depth 125-150",NULL,NULL
"MC-320","MC-320",NULL,NULL,8230,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-2","yes","Phase II: depth 150-175",NULL,NULL
"MC-321","MC-321",NULL,NULL,7280,140,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-2","yes","Phase II: depth 175-200",NULL,NULL
"MC-322","MC-322",NULL,NULL,7610,140,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-2","yes","Phase II: depth 200-225",NULL,NULL
"MC-323","MC-323",NULL,NULL,7280,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-2","yes","Phase II: depth 225-250",NULL,NULL
"MC-325","MC-325",NULL,NULL,7860,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-1","yes","Phase I: depth 275-300",NULL,NULL
"MC-326","MC-326",NULL,NULL,8550,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-1","yes","Phase I: depth 300-325",NULL,NULL
"MC-327","MC-327",NULL,NULL,8860,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-1","yes","Phase I depth 325-350",NULL,NULL
"Gif-888","Gif-888",NULL,NULL,7780,180,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-2","yes","Phase II: depth 180-230 cm",NULL,NULL
"Gif-885","Gif-885",NULL,NULL,7680,500,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ040","DZ040-3","yes","Phase III: 90 cm",NULL,NULL
"MC-337","MC-337",NULL,NULL,7485,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ003","DZ003-1","no","P1 a 1: 30-60 cm",NULL,NULL
"MC-338","MC-338",NULL,NULL,7990,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ003","DZ003-1","no","P1 a 2: 90-110 cm",NULL,"Rahmani.2004Techn and Linstädter 2008 report the error as ±90; Rahmani 2004a reports the error as ±190; Lubell et al. 1991, Close 1980 and Camps 1974 report the error as ±100 which is correct"
"MC-339","MC-339",NULL,NULL,8530,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ003","DZ003-1","no","P1 a 3: 110-130 cm",NULL,NULL
"MC-340","MC-340",NULL,NULL,7090,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ003","DZ003-1","no","P1 a 4: 90-120 cm",NULL,"The correct error ±120 is reported by Camps et al 1973, Camps 1974 and Lubell et al. 1991"
"MC-372","MC-372",NULL,NULL,7260,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ003","DZ003-1","no","20 cm",NULL,NULL
"MC-373","MC-373",NULL,NULL,7280,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ003","DZ003-1","no","20-40 cm",NULL,NULL
"MC-374","MC-374",NULL,NULL,7570,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ003","DZ003-1","no","40-60 cm",NULL,NULL
"MC-375","MC-375",NULL,NULL,8030,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ003","DZ003-1","no","60-80 cm",NULL,NULL
"MC-376","MC-376",NULL,NULL,8345,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ003","DZ003-1","no","80-100 cm",NULL,NULL
"SMU-1108","SMU-1108",NULL,NULL,9100,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ034","DZ034-1","yes","Unit V(3b) - T20-5: 260-270 cm below datum (KZD 18)",NULL,"Linstädter 2008 reports it as obtained on humic acid"
"SMU-1121","SMU-1121",NULL,NULL,8390,170,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-2","yes","Unit IV - G20c: 138 cm below datum (KZD 16)",NULL,NULL
"SMU-704","SMU-704",NULL,NULL,8580,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-1","yes","Unit V(3a) - T20-5: 250 cm below datum (hearth) (KZD 17)",NULL,"Reported also as 8578±48 BP"
"SMU-712","SMU-712",NULL,NULL,9390,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-1","yes","Unit V(3b) - T20-5: 270-280 cm below datum (KZD 19)",NULL,NULL
"SMU-1120","SMU-1120",NULL,NULL,7350,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIb - G21A: 85-88 cm below datum",NULL,NULL
"SMU-1082","SMU-1082",NULL,NULL,7750,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ034","DZ034-3","yes","Unit IIIa - F20B: 82-104 cm below datum",NULL,"Linstädter 2008 reports it as obtained on humic acid"
"SMU-1084","SMU-1084",NULL,NULL,6620,110,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIa - F20D: 114-118,5 cm below datum",NULL,NULL
"SMU-1099","SMU-1099",NULL,NULL,6520,170,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIa - E20D: 120 cm below datum",NULL,NULL
"SMU-1098","SMU-1098",NULL,NULL,6750,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"humates",NULL,"DZ034","DZ034-3","yes","Unit IIIa - Humates extracted from sample SMU-1099",NULL,NULL
"SMU-1095","SMU-1095",NULL,NULL,7590,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIb - G20c: 110-122 cm below datum (KZD 14)",NULL,NULL
"SMU-1096","SMU-1096",NULL,NULL,7210,340,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIb - F20A: 123 cm from datum",NULL,NULL
"SMU-1154","SMU-1154",NULL,NULL,6770,90,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIa - E20C: 133 cm below datum",NULL,NULL
"SMU-1081","SMU-1081",NULL,NULL,7150,200,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIb - E20D: 135 cm below datum",NULL,NULL
"I-9835","I-9835",NULL,NULL,5965,115,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-4","yes","Unit I - 1976: 90-95 cm below datum",NULL,NULL
"I-9836","I-9836",NULL,NULL,6485,125,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIa - 1976: 125-130 cm below datum",NULL,NULL
"I-9837","I-9837",NULL,NULL,6505,125,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIa - 1976: 145-150 cm below datum",NULL,NULL
"I-9838","I-9838",NULL,NULL,6575,170,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIa - 1976: 165-170 cm below datum",NULL,NULL
"AECV-1812C","AECV-1812C",NULL,NULL,7340,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIb - F21D: 80-86 cm below datum",NULL,NULL
"AECV-1813C","AECV-1813C",NULL,NULL,7430,90,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIb - F21C: 99-111 cm below datum",NULL,NULL
"SMU-1097","SMU-1097",NULL,NULL,7442,560,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ034","DZ034-3","yes","Unit IIIb - F20B: 109,5 cm below datum",NULL,NULL
"UOC-0911","UOC-0911",NULL,NULL,7802,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)","Mammalia","DZ034","DZ034-1","yes","Unit V(1b) - T/20-5: 170-180 cm below datum",NULL,NULL
"UOC-0912","UOC-0912",NULL,NULL,8294,59,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)","Mammalia","DZ034","DZ034-1","yes","Unit V(3a) - T/20-5: 240-250 cm below datum",NULL,NULL
