"Site_ID","Site_Name","Site_Type","Admin_Region","Country","Decimal_Degrees_Lat","Decimal_Degrees_Long","Location_Quality"
"EG144","Tarkhan tomb 2054","Funerary complex","Nile Valley at Fayum","EG",29.51,31.22,"C"
"EG146","Tarkhan (unspecified)","Funerary complex","Nile Valley at Fayum","EG",29.5084,31.225,"C"
"EG160","Kafr Ammar tomp 1060","Funerary complex","Nile Valley at Fayum","EG",29.51,31.2,"A"
"EG141","Kafr Ammar tomb 2038","Funerary complex","Nile Valley at Fayum","EG",29.51,31.2,"A"
"EG083","Saqqara [1]","Funerary complex","Lower Egypt","EG",29.85,31.2167,"C"
"EG084","Saqqara [2]","Funerary complex","Lower Egypt","EG",29.8732,31.2154,"C"
"EG093","Saqqara Horemheb Tomb","Funerary complex","Lower Egypt","EG",29.8661,31.217,"C"
"EG039","Illahun [1]","Funerary complex","Nile Valley at Fayum","EG",29.2361,30.9707,"C"
"EG011","Dahshur Senusret III boat pit","Funerary complex","Lower Egypt","EG",29.8189,31.2254,"C"
"EG107","Saqqara tomb 3357","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG109","Saqqara tomb 3503","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG104","Saqqara tomb 3035","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG111","Saqqara tomb 3505","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG105","Saqqara tomb 3046","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG103","Saqqara tomb 3030","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG113","Saqqara tomb 3510","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG106","Saqqara tomb 3073-5","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG119","Saqqara undisturbed tomb","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG118","Saqqara undisturbed Burial from tomb 3508 and 3510","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG042","Illahun Senusret II Pyramid","Funerary complex","Nile Valley at Fayum","EG",29.2361,30.9707,"C"
"EG110","Saqqara tomb 3504","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG012","Dahshur Sneferu Bent Pyramid","Funerary complex","Lower Egypt","EG",29.7903,31.2091,"C"
"EG096","Saqqara Mereruka Mastaba","Funerary complex","Lower Egypt","EG",29.8759,31.2213,"C"
"EG102","Saqqara Teti Pyramid","Funerary complex","Lower Egypt","EG",29.8752,31.2218,"C"
"EG028","Giza Khufu boat pit south","Funerary complex","Lower Egypt","EG",29.9779,31.1343,"C"
"EG117","Saqqara Unas Pyramid Cemetery","Funerary complex","Lower Egypt","EG",29.869,31.2164,"C"
"EG006","Abusir Ptahshepses Mastaba","Funerary complex","Lower Egypt","EG",29.8966,31.2045,"C"
"EG085","Saqqara [3]","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG005","Abusir Neferirkare Pyramid","Funerary complex","Lower Egypt","EG",29.895,31.2023,"C"
"EG057","Meydum Sneferu Pyramid","Funerary complex","Lower Egypt","EG",29.3882,31.1569,"C"
"EG026","Giza plateau","Funerary complex","Lower Egypt","EG",29.9732,31.1328,"C"
"EG010","Dahshur Amenemhat III Pyramid","Funerary complex","Lower Egypt","EG",29.7917,31.2235,"C"
"EG003","Abu Roash Djedefre Pyramid Temple","Funerary complex","Lower Egypt","EG",30.0321,31.0749,"C"
"EG029","Giza Khufu Pyramid","Funerary complex","Lower Egypt","EG",29.979,31.1339,"C"
"EG032","Giza Sphinx Temple","Funerary complex","Lower Egypt","EG",29.9752,31.1382,"C"
"EG030","Giza Menkaure Pyramid","Funerary complex","Lower Egypt","EG",29.9724,31.1281,"C"
"EG081","Saqqara (South) Shepseskaf Mastaba el-Faraoun","Funerary complex","Lower Egypt","EG",29.8388,31.215,"C"
"EG101","Saqqara Temple Complex associated with Step Pyramid","Funerary complex","Lower Egypt","EG",29.8712,31.2166,"C"
"EG082","Saqqara (South) Shepseskaf Mortuary Temple","Funerary complex","Lower Egypt","EG",29.8388,31.215,"C"
"EG027","Giza Khafre Pyramid","Funerary complex","Lower Egypt","EG",29.9757,31.1305,"C"
"EG002","Abu Roash Djedefre Pyramid","Funerary complex","Lower Egypt","EG",30.0321,31.0749,"C"
"EG092","Saqqara Djoser Step Pyramid","Funerary complex","Lower Egypt","EG",29.8712,31.2166,"A"
"EG116","Saqqara Unas Pyramid","Funerary complex","Lower Egypt","EG",29.8682,31.215,"C"
"EG099","Saqqara Sekhemkhet Pyramid","Funerary complex","Lower Egypt","EG",29.8663,31.2132,"C"
"EG122","Saqqara Userkaf South Pyramid Temple","Funerary complex","Lower Egypt","EG",29.8734,31.2189,"C"
"EG007","Abusir Sahure Pyramid","Funerary complex","Lower Egypt","EG",29.8976,31.2033,"C"
"EG095","Saqqara Maya Tomb","Funerary complex","Lower Egypt","EG",29.8732,31.2154,"C"
"EG108","Saqqara tomb 3471","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG115","Saqqara Unas Mortuary Temple","Funerary complex","Lower Egypt","EG",29.8682,31.215,"C"
"EG114","Saqqara tomb A","Funerary complex","Lower Egypt","EG",29.8732,31.2154,"C"
"EG121","Saqqara Userkaf Queen's Pyramid","Funerary complex","Lower Egypt","EG",29.8734,31.2189,"C"
"EG120","Saqqara Userkaf Pyramid","Funerary complex","Lower Egypt","EG",29.8734,31.2189,"C"
"EG080","Saqqara (South) Pyramid of Qakare-Iby","Funerary complex","Lower Egypt","EG",29.8388,31.215,"C"
"EG086","Saqqara [4]","Funerary complex","Lower Egypt","EG",29.7738,31.2169,"C"
"EG050","Lisht Amenemhet I Pyramid","Funerary complex","Lower Egypt","EG",29.5746,31.225,"C"
"EG058","Meydum Tomb 17","Funerary complex","Lower Egypt","EG",29.3896,31.1585,"C"
"EG031","Giza Royal Production Centre","Funerary complex","Lower Egypt","EG",29.9732,31.1339,"C"
"EG097","Saqqara mortuary chapel of Queen Neith","Funerary complex","Lower Egypt","EG",29.8409,31.213,"C"
"EG094","Saqqara Iurudef Tomb","Funerary complex","Lower Egypt","EG",29.85,31.2167,"C"
"EG033","Giza Western Cemetery","Funerary complex","Lower Egypt","EG",29.9792,31.131,"C"
"EG001","Abu Roash","Funerary complex","Lower Egypt","EG",30.0321,31.0749,"C"
"EG112","Saqqara tomb 3507","Funerary complex","Lower Egypt","EG",29.8817,31.2181,"C"
"EG155","Unlabelled grave southwestern Fayum","Funerary complex","Nile Valley at Fayum","EG",29.0856,30.9344,"C"
"EG153","Unlabelled site southwestern Fayum","Funerary complex","Nile Valley at Fayum","EG",29.0856,30.9344,"C"
"EG034","Grave chamber southwestern Fayum","Funerary complex","Nile Valley at Fayum","EG",29.0856,30.9344,"C"
"EG154","Unlabelled and undisturbed grave southwestern Fayum","Funerary complex","Nile Valley at Fayum","EG",29.0856,30.9344,"C"
"EG087","Saqqara [5]","Funerary complex","Lower Egypt","EG",29.8712,31.2166,"C"
"EG159","Zagreb mummy","Funerary complex","Cairo","EG",30.0379,31.2412,"C"
"EG040","Illahun [2]","Funerary complex","Nile Valley at Fayum","EG",29.2074,30.978,"C"
"EG088","Saqqara [6]","Funerary complex","Lower Egypt","EG",29.8723,31.2165,"C"
"EG089","Saqqara [7]","Funerary complex","Lower Egypt","EG",29.88,31.22,"C"
"EG090","Saqqara [8]","Funerary complex","Lower Egypt","EG",29.8712,31.2165,"C"
"EG091","Saqqara [9]","Funerary complex","Lower Egypt","EG",29.8544,31.2189,"C"
"EG048","Lisht [1]","Funerary complex","Nile Valley at Fayum","EG",29.5605,31.222,"C"
"EG041","Illahun [3]","Funerary complex","Nile Valley at Fayum","EG",29.2333,30.9667,"C"
"EG049","Lisht [2]","Funerary complex","Nile Valley at Fayum","EG",29.56,31.2209,"C"
"EG009","Dahshur","Funerary complex","Lower Egypt","EG",29.7917,31.2235,"C"
"EG123","Sedment","Funerary complex","Fayum","EG",29.1333,30.9,"C"
"EG149","Tuna El Gebel","Funerary complex","Nile Valley at Fayum","EG",29.9791,31.149,"C"
"EG098","Saqqara Pepy II Pyramid","Funerary complex","Lower Egypt","EG",29.8402,31.2134,"C"
"EG035","Gurob tomb 23","Funerary complex","Nile Valley at Fayum","EG",29.2,30.95,"C"
"EG125","Sedment tomb 254","Funerary complex","Fayum","EG",29.1333,30.9,"C"
"EG124","Sedment tomb 246","Funerary complex","Fayum","EG",29.1333,30.9,"C"
"EG152","Undefined site southwest of Cairo","Funerary complex?","Lower Egypt","EG",30,31,"D"
"LY003","Haua Fteah","Cave","Sousa","LY",32.9002,22.0514,"A"
"LY009","SJ-03-83","Open air site","El Batn","LY",32.0057,11.5546,"A"
"LY013","Wadi Ghan","Open air site","Wadi Ghan","LY",32.05,13.0667,"C"
"LY010","SJ-06-87","Open air site","El Jawsh","LY",31.998,11.6857,"A"
"LY011","SJ-06-88","Open air site","El Jawsh","LY",31.9979,11.685,"A"
"LY008","SJ-03-75","Open air site","El Jawsh","LY",31.9965,11.6566,"A"
"LY007","SJ-02-67","Open air site","Shakshuk East, Ain Soda","LY",32.018,11.9601,"A"
"LY005","SJ-00-58H","Open air site","Shakshuk West","LY",32.0157,11.9522,"A"
"LY006","SJ-00-59","Open air site","Wadi Bazina","LY",32.0141,11.8302,"A"
"LY012","SJ-10-96","Open air site","El Batn","LY",32.0094,11.8308,"A"
"LY004","SG-99-41","Open air site","Wadi Ghan","LY",32.0613,13.0827,"A"
"LY001","Abou Tamsa","Rock shelter","Sousa","LY",32.9002,22.0335,"B"
"LY002","Belgammel ram","Underwater","Tobruk","LY",32.1258,23.875,"B"
"MA003","Bouchih 1 (Moulouya)",NULL,NULL,"MA",34.9474,-2.5376,"A"
"MA038","Ifri Oudadane","Rock shelter","Eastern Rif","MA",35.2144,-3.2553,"C"
"MA081","Taghit Haddouch","Cave","Eastern Rif","MA",34.7856,-3.3396,"A"
"MA034","Ifri el-Baroud","Cave","Eastern Rif","MA",34.7667,-3.3167,"B"
"MA053","Kaf el-Baroud","Cave","Rabat","MA",33.6667,-7,"C"
"MA037","Ifri Ou Berid","Cave","Middle Atlas","MA",33.2419,-5.2986,"A"
"MA015","El Khil (Cave B)","Cave","Tangier","MA",35.7871,-5.9061,"C"
"MA016","El Khil (Cave C)","Cave","Tangier","MA",35.7871,-5.9061,"C"
"MA029","Hassi Ouenzga Cave","Cave","Eastern Rif","MA",34.6978,-3.2822,"A"
"MA030","Hassi Ouenzga Open air","Open air site","Eastern Rif","MA",34.6978,-3.2822,"A"
"MA035","Ifri n'Ammar","Rock shelter","Eastern Rif","MA",34.6978,-3.2822,"A"
"MA039","Ifri Ouzabour","Cave","Eastern Rif","MA",35.22,-3.214,"C"
"MA033","Ifri Armas","Cave","Eastern Rif","MA",35.2064,-3.2772,"A"
"MA087","Tarfaya Village","Open air site","Tarfaya","MA",27.9167,-12.8333,"D"
"MA056","Létan","Open air site","Tarfaya","MA",27.9667,-12.8167,"D"
"MA070","Oued el Quar Site G","Open air site","Tarfaya","MA",28.3333,-11.3333,"C"
"MA059","Megrious Site H","Open air site","Tarfaya","MA",27.6667,-13.0833,"A"
"MA012","El Harhoura 1","Cave","Témara","MA",33.9525,-6.9258,"A"
"MA013","El Harhoura 2","Cave","Témara","MA",33.9525,-6.9258,"A"
"MA076","Rhirane","Rock shelter","Oujda","MA",34.48,-1.87,"C"
"MA075","Rhafas Cave","Cave","Oujda","MA",34.5667,-1.8,"A"
"MA014","El Heriga","Cave","Oujda","MA",34.3,-1.8833,"C"
"MA058","Marja (Oued el-Hay)","Open air site","Oujda","MA",34.1167,-2.0833,"A"
"MA002","Bou Guennouna","Rock shelter","Oujda","MA",34.4569,-1.8553,"A"
"MA051","Jorf el Anngra","Cave","Oujda","MA",34.4615,-1.8831,"A"
"MA024","Grandes Cascades (Oued el Haÿ)","Open air site","Oujda","MA",34.1348,-2.1512,"A"
"MA078","Site de la piste","Open air site","Oujda","MA",34.1025,-2.0726,"A"
"MA077","Sidi Ahmed",NULL,"Oujda","MA",34.7997,-3.389,"A"
"MA026","Grotte des Idoles (Achakar)","Cave","Tangier","MA",35.775,-5.9297,"A"
"MA063","Mtlili 5 (Moulouya)","Open air site","Eastern Rif","MA",34.9442,-2.5525,"A"
"MA064","Mtlili 6 (Moulouya)","Open air site","Eastern Rif","MA",34.9439,-2.5525,"A"
"MA061","Mtlili 1 (Moulouya)","Open air site","Eastern Rif","MA",34.9474,-2.5528,"A"
"MA062","Mtlili 2 (Moulouya)","Open air site","Eastern Rif","MA",34.9474,-2.553,"A"
"MA098","Mtlili (Moulouya)","Open air site","Eastern Rif","MA",34.9474,-2.553,"A"
"MA082","Taoungat (Moulouya)","Open air site",NULL,"MA",34.9553,-2.4873,"A"
"MA083","Taoungat 1 (Moulouya)","Open air site",NULL,"MA",34.9553,-2.4873,"A"
"MA084","Taoungat 5 (Moulouya)","Open air site",NULL,"MA",34.9553,-2.4873,"A"
"MA085","Taoungat 7 (Moulouya)","Open air site",NULL,"MA",34.9553,-2.4873,"A"
"MA028","Hajra 3","Open air site",NULL,"MA",34.9339,-2.5577,"A"
"MA060","Mi Merdaz 2 Est","Rock shelter",NULL,"MA",32.6159,-2.8762,"A"
"MA001","Abri de la Dune","Rock shelter",NULL,"MA",32.6377,-2.899,"A"
"MA079","Skhirat (Rouazi)","Cemetery","Rabat","MA",33.8333,-7.0833,"A"
"MA065","Nif Sebbab","Cave",NULL,"MA",32.8238,-2.8897,"A"
"MA067","Oued Ben Ghart","Cave",NULL,"MA",32.6362,-2.7197,"A"
"MA054","Kaf Taht el Ghar","Cave","Tangier","MA",35.4965,-5.431,"B"
"MA023","Grand Ghilen","Rock shelter",NULL,"MA",32.5172,-3.4953,"A"
"MA022","Ghar Kahal","Cave","Tangier","MA",35.8768,-5.4253,"A"
"MA073","Oued Tahadart","Open air site","Tangier","MA",35.53,-5.83,"C"
"MA017","El Kiffen","Cemetery","Northern Atlantic Moroccan coast","MA",33.3333,-7.5833,"A"
"MA036","Ifri n'Etsedda","Rock shelter","Oujda","MA",35.0075,-2.5342,"A"
"MA080","Taforalt","Cave","Oujda","MA",34.8106,-2.4083,"A"
"MA052","Kaf Boussaria","Cave","Tangier","MA",35.7667,-5.8,"B"
"MA040","Ifri Zerrouk","Cave","Eastern Rif","MA",34.7542,-3.2978,"A"
"MA007","Chaâba Bayda Site 2",NULL,"Oujda","MA",34.0833,-1.9167,"B"
"MA006","Chaâba Bayda Site 1",NULL,"Oujda","MA",34.0833,-1.9167,"B"
"MA008","Chaâba Bayda Site 3",NULL,"Oujda","MA",34.0833,-1.9167,"B"
"MA050","Jorf Akhdar (Oued Isly)","Open air site","Oujda","MA",34.7,-1.9667,"A"
"MA072","Oued Ouziyyane","Open air site","Oujda","MA",34.1194,-2.0587,"A"
"MA009","Dar es Soltan","Cave","Rabat","MA",33.9808,-6.8978,"B"
"MA057","Ma Izza",NULL,"Atlantic","MA",32.7833,-8.9667,"A"
"MA048","Izriten (Tarfaya) Site 17","Open air site","Tarfaya","MA",28,-12.4167,"C"
"MA043","Izriten (Tarfaya) Site 11","Open air site","Tarfaya","MA",28,-12.2667,"C"
"MA044","Izriten (Tarfaya) Site 11/1a","Open air site","Tarfaya","MA",28,-12.2667,"C"
"MA045","Izriten (Tarfaya) Site 11/1b","Open air site","Tarfaya","MA",28,-12.2667,"C"
"MA106","Ifri n Amr ou Moussa","Cave","Khemisset","MA",33.8806,-5.9319,"A"
"MA049","Izriten (Tarfaya) Site 19","Open air site","Tarfaya","MA",27.9667,-12.6167,"A"
"MA047","Izriten (Tarfaya) Site 16","Open air site","Tarfaya","MA",28,-12.4167,"C"
"MA042","Izriten (Tarfaya)","Open air site","Tarfaya","MA",28,-12.2667,"C"
"MA046","Izriten (Tarfaya) Site 11/2","Open air site","Tarfaya","MA",28,-12.2667,"C"
"MA086","Tarfaya km 34",NULL,"Tarfaya","MA",27.9667,-12.6333,"A"
"MA027","Hajra (Moulouya)",NULL,NULL,"MA",34.9335,-2.5575,"A"
"MA018","El Rhama A (Moulouya)",NULL,NULL,"MA",34.9498,-2.5392,"A"
"MA099","Hafa II Cave","Cave","Gibraltar","MA",35.8569,-5.4519,"C"
